displacement,cumulative_buoyancy
14000,36.8
14000,38.7
14000,41.8
14000,46.3
14000,52.3
14000,59.9
14000,69.3
14000,80.9
14000,94.7
14000,110.8
14000,129.6
14000,150
14000,172
14000,197.4
14000,226.5
14000,258
14000,291.8
14000,328
14000,366.3
14000,406.7
14000,449.4
14000,494.2
14000,541.2
14000,590.4
14000,641.6
14000,694.5
14000,749.1
14000,805.5
14000,863.5
14000,923.2
14000,984.7
14000,1047.8
14000,1112.4
14000,1178.3
14000,1245.6
14000,1314.2
14000,1384.2
14000,1455.5
14000,1528.1
14000,1602
14000,1677
14000,1753
14000,1830.1
14000,1908.2
14000,1977.8
14000,2048.5
14000,2129.8
14000,2211.9
14000,2294.8
14000,2378.5
14000,2463
14000,2548.3
14000,2626.1
14000,2704.6
14000,2783.9
14000,2872
14000,2960.8
14000,3050.1
14000,3140
14000,3230.5
14000,3321.5
14000,3413.1
14000,3505.2
14000,3597.6
14000,3690.5
14000,3783.7
14000,3877.3
14000,3971.3
14000,4065.7
14000,4160.3
14000,4255.2
14000,4350.1
14000,4445.2
14000,4540.4
14000,4635.7
14000,4731.1
14000,4826.7
14000,4922.4
14000,5018.2
14000,5114.1
14000,5210.1
14000,5306.1
14000,5402.1
14000,5498.1
14000,5594.1
14000,5690.1
14000,5786.1
14000,5882.1
14000,5978.1
14000,6074.2
14000,6170.2
14000,6266.2
14000,6362.2
14000,6458.2
14000,6554.3
14000,6650.3
14000,6746.3
14000,6842.3
14000,6938.3
14000,7034.4
14000,7130.4
14000,7226.4
14000,7322.4
14000,7418.3
14000,7514.2
14000,7610.1
14000,7706
14000,7801.8
14000,7897.5
14000,7993.2
14000,8088.9
14000,8184.6
14000,8280.1
14000,8375.5
14000,8470.7
14000,8565.6
14000,8660.4
14000,8755
14000,8849.4
14000,8943.6
14000,9037.7
14000,9131.5
14000,9225.1
14000,9318.4
14000,9411.3
14000,9503.8
14000,9595.8
14000,9687.5
14000,9778.8
14000,9869.6
14000,9960
14000,10050
14000,10139.7
14000,10228.8
14000,10317.5
