ID,Count.StartTime,Count.UnitTypeID,Count.Booked Weight,Count.VGM Weight,Corrected Weight,Variance
14388225,44952,SWAP45,29500,22,22000,7500
14373465,44946,SWAP45,15500,10,10000,5500
14400007,44957,SWAP45,15500,9,9000,6500
14416609,44964,SWAP45,19000,21,21000,-2000
14433035,44970,SWAP45,20000,20,20000,0
14450623,44977,SWAP45,40000,33,33000,7000
14477524,44987,SWAP45,11000,9,9000,2000
14464034,44981,SWAP45,11000,,11000,0
14464034,44981,SWAP45,11000,8,8000,3000
14496524,44994,SWAP45,30000,241,24100,5900
14512883,45000,SWAP45,30000,28,28000,2000
14512883,45000,SWAP45,30000,,30000,0
14534326,45008,SWAP45,30000,25,25000,5000
14530361,45007,SWAP45,30000,,30000,0
14530361,45007,SWAP45,30000,,30000,0
14528296,45006,SWAP45,11000,8,8000,3000
14510549,44999,SWAP45,23000,25,25000,-2000
14487219,44991,SWAP45,13500,17,17000,-3500
14456998,44979,SWAP45,30000,26,26000,4000
14472373,44985,SWAP45,25000,20,20000,5000
14441685,44973,SWAP45,30000,30,30000,0
14425857,44967,SWAP45,11000,9,9000,2000
14413137,44963,SWAP45,30000,35,35000,-5000
14399732,44957,SWAP45,15500,9,9000,6500
14371263,44945,SWAP45,15500,9,9000,6500
14385125,44951,SWAP45,24500,14,14000,10500
14353148,44938,SWAP45,29500,18,18000,11500
14332094,44929,SWAP45,24500,16,16000,8500
14329871,44928,SWAP45,29500,12,12000,17500
14344538,44935,SWAP45,34500,34,34000,500
14357420,44939,SWAP45,15500,9,9000,6500
14369956,44945,SWAP45,15500,8,8000,7500
14385947,44951,SWAP45,44500,35,35000,9500
14399759,44957,SWAP45,15500,7,7000,8500
14413138,44963,SWAP45,20000,11,11000,9000
14425859,44967,SWAP45,20000,8,8000,12000
14441689,44973,SWAP45,20000,9,9000,11000
14473222,44985,SWAP45,11000,10,10000,1000
14459953,44980,SWAP45,20000,30,30000,-10000
14492236,44992,SWAP45,11000,8,8000,3000
14501259,44995,SWAP45,20000,18,18000,2000
14501259,44995,SWAP45,20000,,20000,0
14493266,44993,SWAP45,23500,9,9000,14500
14515771,45001,SWAP45,25000,18,18000,7000
14455562,44978,SWAP45,30000,11,11000,19000
14464037,44981,SWAP45,11000,8,8000,3000
14477527,44987,SWAP45,40000,40,40000,0
14439235,44972,SWAP45,40000,39,39000,1000
14422172,44966,SWAP45,11000,11,11000,0
14407513,44960,SWAP45,11000,9,9000,2000
14396155,44956,SWAP45,44500,40,40000,4500
14383112,44950,SWAP45,34500,30,30000,4500
14367935,44944,SWAP45,15500,28,28000,-12500
14354645,44938,SWAP45,15500,9,9000,6500
14338898,44931,SWAP45,34500,31,31000,3500
14533423,45008,SWAP45,20000,18,18000,2000
14533423,45008,SWAP45,20000,,20000,0
14533424,45008,SWAP45,30000,,30000,0
14533424,45008,SWAP45,30000,28,28000,2000
14344397,44935,SWAP45,15500,9,9000,6500
14332096,44929,SWAP45,34500,28,28000,6500
14362231,44942,SWAP45,34500,28,28000,6500
14374928,44946,SWAP45,15500,,15500,0
14374928,44946,SWAP45,15500,10,10000,5500
14388201,44952,SWAP45,29500,15,15000,14500
14399760,44957,SWAP45,34500,40,40000,-5500
14415422,44964,SWAP45,25000,27,27000,-2000
14433091,44970,SWAP45,40000,26,26000,14000
14450626,44977,SWAP45,20000,18,18000,2000
14477529,44987,SWAP45,30000,22,22000,8000
14463720,44981,SWAP45,12500,8,8000,4500
14511802,44999,SWAP45,31500,,31500,0
14511802,44999,SWAP45,31500,9,9000,22500
14493264,44993,SWAP45,23500,,23500,0
14493264,44993,SWAP45,23500,28,28000,-4500
14493241,44993,SWAP45,23500,9,9000,14500
14515773,45001,SWAP45,11000,9,9000,2000
14515773,45001,SWAP45,11000,,11000,0
14463808,44981,SWAP45,20500,8,8000,12500
14477531,44987,SWAP45,30000,28,28000,2000
14450627,44977,SWAP45,20000,16,16000,4000
14433958,44970,SWAP45,30000,28,28000,2000
14416611,44964,SWAP45,30000,19,19000,11000
14400154,44957,SWAP45,34500,19,19000,15500
14385948,44951,SWAP45,15500,9,9000,6500
14371219,44945,SWAP45,44500,38,38000,6500
14356584,44939,SWAP45,15500,8,8000,7500
14339580,44931,SWAP45,15500,8,8000,7500
14533425,45008,SWAP45,30000,16,16000,14000
14533011,45007,SWAP45,11000,9,9000,2000
14336264,44930,SWAP45,15500,10,10000,5500
14350023,44937,SWAP45,39500,32,32000,7500
14365498,44943,SWAP45,21500,12,12000,9500
14395691,44956,SWAP45,34500,28,28000,6500
14382345,44950,SWAP45,24500,14,14000,10500
14413061,44963,SWAP45,40000,29,29000,11000
14425860,44967,SWAP45,25000,20,20000,5000
14442410,44973,SWAP45,40000,40,40000,0
14471635,44985,SWAP45,11000,9,9000,2000
14471635,44985,SWAP45,11000,8,8000,3000
14456999,44979,SWAP45,25000,9,9000,16000
14517035,45001,SWAP45,35000,,35000,0
14517035,45001,SWAP45,35000,40,40000,-5000
14492152,44992,SWAP45,11000,8,8000,3000
14501260,44995,SWAP45,30000,25,25000,5000
14493203,44993,SWAP45,4500,9,9000,-4500
14481571,44988,SWAP45,11000,11,11000,0
14509247,44999,SWAP45,18500,21,21000,-2500
14455570,44978,SWAP45,30000,22,22000,8000
14468917,44984,SWAP45,30000,30,30000,0
14439237,44972,SWAP45,30000,22,22000,8000
14422174,44966,SWAP45,11000,9,9000,2000
14407519,44960,SWAP45,20000,17,17000,3000
14380327,44949,SWAP45,15500,9,9000,6500
14391627,44953,SWAP45,44500,35,35000,9500
14364084,44943,SWAP45,24500,14,14000,10500
14347833,44936,SWAP45,15500,9,9000,6500
14333049,44929,SWAP45,29500,20,20000,9500
14529265,45006,SWAP45,35000,38,38000,-3000
14529256,45006,SWAP45,35000,38,38000,-3000
14347344,44936,SWAP45,15500,9,9000,6500
14332133,44929,SWAP45,15500,9,9000,6500
14364025,44943,SWAP45,34500,9,9000,25500
14395692,44956,SWAP45,44500,39,39000,5500
14379737,44949,SWAP45,44500,40,40000,4500
14404582,44959,SWAP45,12500,9,9000,3500
14419730,44965,SWAP45,25000,20,20000,5000
14435382,44971,SWAP45,22000,20,20000,2000
14450630,44977,SWAP45,30000,30,30000,0
14477534,44987,SWAP45,29500,21,21000,8500
14464042,44981,SWAP45,11000,18,18000,-7000
14510552,44999,SWAP45,12000,16,16000,-4000
14492830,44993,SWAP45,12000,12,12000,0
14492830,44993,SWAP45,12000,,12000,0
14493199,44993,SWAP45,23500,25,25000,-1500
14514086,45000,SWAP45,11000,8,8000,3000
14457247,44979,SWAP45,22000,19,19000,3000
14477537,44987,SWAP45,11000,8,8000,3000
14468918,44984,SWAP45,20000,328,32800,-12800
14434963,44970,SWAP45,30000,28,28000,2000
14416615,44964,SWAP45,10000,9,9000,1000
14401896,44958,SWAP45,34500,21,21000,13500
14375204,44946,SWAP45,34500,10,10000,24500
14388165,44952,SWAP45,29500,18,18000,11500
14362232,44942,SWAP45,24500,18,18000,6500
14348364,44936,SWAP45,39500,26,26000,13500
14332966,44929,SWAP45,39500,35,35000,4500
14525816,45005,SWAP45,20000,16,16000,4000
14537439,45009,SWAP45,41000,,41000,0
14526856,45006,SWAP45,30000,8,8000,22000
14526856,45006,SWAP45,30000,,30000,0
14336265,44930,SWAP45,44500,40,40000,4500
14350014,44937,SWAP45,34500,19,19000,15500
14365058,44943,SWAP45,39500,40,40000,-500
14391628,44953,SWAP45,15500,8,8000,7500
14380329,44949,SWAP45,24500,17,17000,7500
14380329,44949,SWAP45,24500,,24500,0
14404588,44959,SWAP45,21500,19,19000,2500
14419731,44965,SWAP45,10000,38,38000,-28000
14436125,44971,SWAP45,30000,9,9000,21000
14472375,44985,SWAP45,35000,35,35000,0
14455575,44978,SWAP45,11000,8,8000,3000
14510553,44999,SWAP45,40000,39,39000,1000
14487225,44991,SWAP45,23500,26,26000,-2500
14481575,44988,SWAP45,25000,18,18000,7000
14493191,44993,SWAP45,23500,14,14000,9500
14509896,44999,SWAP45,32000,32,32000,0
14509896,44999,SWAP45,32000,,32000,0
14457249,44979,SWAP45,20000,18,18000,2000
14468919,44984,SWAP45,40000,35,35000,5000
14468919,44984,SWAP45,40000,,40000,0
14425863,44967,SWAP45,11000,9,9000,2000
14441695,44973,SWAP45,25000,23,23000,2000
14413063,44963,SWAP45,30000,30,30000,0
14383550,44950,SWAP45,24500,,24500,0
14383550,44950,SWAP45,24500,8,8000,16500
14396158,44956,SWAP45,15500,9,9000,6500
14367937,44944,SWAP45,15500,9,9000,6500
14353241,44938,SWAP45,15500,9,9000,6500
14338899,44931,SWAP45,44500,40,40000,4500
14525517,45006,SWAP45,11000,13,13000,-2000
14525517,45006,SWAP45,11000,,11000,0
14529260,45006,SWAP45,35000,33,33000,2000
14338907,44931,SWAP45,24500,18,18000,6500
14354634,44938,SWAP45,15500,10,10000,5500
14367938,44944,SWAP45,34500,8,8000,26500
14396159,44956,SWAP45,34500,30,30000,4500
14396159,44956,SWAP45,34500,30,30000,4500
14383113,44950,SWAP45,27500,32,32000,-4500
14413066,44963,SWAP45,30000,37,37000,-7000
14413066,44963,SWAP45,30000,,30000,0
14442414,44973,SWAP45,20000,13,13000,7000
14425864,44967,SWAP45,11000,8,8000,3000
14468920,44984,SWAP45,20000,40,40000,-20000
14457323,44979,SWAP45,40000,34,34000,6000
14512887,45000,SWAP45,20000,18,18000,2000
14512887,45000,SWAP45,20000,,20000,0
14496528,44994,SWAP45,40000,40,40000,0
14481578,44988,SWAP45,30000,30,30000,0
14490359,44992,SWAP45,6500,11,11000,-4500
14490359,44992,SWAP45,6500,,6500,0
14524199,45005,SWAP45,4500,,4500,0
14524199,45005,SWAP45,4500,8,8000,-3500
14524199,45005,SWAP45,4500,,4500,0
14506111,44998,SWAP45,20000,38,38000,-18000
14459966,44980,SWAP45,11000,28,28000,-17000
14474650,44986,SWAP45,39000,26,26000,13000
14425866,44967,SWAP45,11000,8,8000,3000
14445546,44974,SWAP45,33000,34,34000,-1000
14413071,44963,SWAP45,25000,23,23000,2000
14380330,44949,SWAP45,15500,9,9000,6500
14380330,44949,SWAP45,15500,16,16000,-500
14395693,44956,SWAP45,34500,18,18000,16500
14365659,44943,SWAP45,34500,20,20000,14500
14350025,44937,SWAP45,34500,9,9000,25500
14336266,44930,SWAP45,34500,8,8000,26500
14344539,44935,SWAP45,15500,9,9000,6500
14329875,44928,SWAP45,44500,19,19000,25500
14361380,44942,SWAP45,44500,35,35000,9500
14388203,44952,SWAP45,44500,41,41000,3500
14375208,44946,SWAP45,15500,10,10000,5500
14416616,44964,SWAP45,10000,9,9000,1000
14401889,44958,SWAP45,15500,8,8000,7500
14450632,44977,SWAP45,40000,38,38000,2000
14433975,44970,SWAP45,12000,10,10000,2000
14477540,44987,SWAP45,25000,25,25000,0
14464074,44981,SWAP45,20000,16,16000,4000
14509306,44999,SWAP45,23500,12,12000,11500
14509306,44999,SWAP45,23500,,23500,0
14493185,44993,SWAP45,33500,42,42000,-8500
14493185,44993,SWAP45,33500,,33500,0
14527495,45006,SWAP45,30000,,30000,0
14527495,45006,SWAP45,30000,29,29000,1000
14530363,45007,SWAP45,30000,25,25000,5000
14496529,44994,SWAP45,11000,14,14000,-3000
14512886,45000,SWAP45,20000,15,15000,5000
14512886,45000,SWAP45,20000,,20000,0
14464080,44981,SWAP45,20000,8,8000,12000
14477541,44987,SWAP45,11000,9,9000,2000
14477541,44987,SWAP45,11000,,11000,0
