displacement,cumulative_buoyancy
22560,10788.4
22560,10910.9
22560,11033.4
22560,11155.7
22560,11277.8
22560,11399.9
22560,11521.9
22560,11643.8
22560,11765.5
22560,11887.2
22560,12008.7
22560,12130.2
22560,12251.5
22560,12372.7
22560,12493.8
22560,12614.8
22560,12735.7
22560,12856.5
22560,12977.2
22560,13097.7
22560,13218.2
22560,13338.5
22560,13458.7
22560,13578.5
22560,13697.6
22560,13816.2
22560,13934.2
22560,14051.7
22560,14168.5
22560,14284.8
22560,14400.5
22560,14515.6
22560,14630.2
22560,14744.1
22560,14857.5
22560,14970.3
22560,15082.6
22560,15194.2
22560,15305.3
22560,15415.8
22560,15525.8
22560,15635.1
22560,15743.9
22560,15852.1
22560,15959.7
22560,16066.7
22560,16173.2
22560,16279.1
22560,16384.4
22560,16489.1
22560,16593.3
22560,16696.8
22560,16799.8
22560,16902.2
22560,17003.8
22560,17104.4
22560,17204
22560,17302.8
22560,17400.6
22560,17497.5
22560,17593.4
22560,17688.5
22560,17782.6
22560,17875.7
22560,17968
22560,18059.3
22560,18149.7
22560,18239.2
22560,18327.7
22560,18415.3
22560,18502
22560,18587.7
22560,18672.6
22560,18756.5
22560,18839.4
22560,18921.5
22560,19002.6
22560,19082.7
22560,19162
22560,19240.3
22560,19317.7
22560,19394.2
22560,19469.7
22560,19544.3
22560,19618
22560,19690.7
22560,19762.5
22560,19833.2
22560,19903
22560,19971.7
22560,20039.5
22560,20106.4
22560,20172.2
22560,20237
22560,20300.9
22560,20363.8
22560,20425.7
22560,20486.6
22560,20546.6
22560,20605.6
22560,20663.5
22560,20720.5
22560,20776.6
22560,20831.6
22560,20885.7
22560,20938.7
22560,20990.8
22560,21042
22560,21092.1
22560,21141.2
22560,21189.4
22560,21236.6
22560,21282.8
22560,21328
22560,21372.3
22560,21415.6
22560,21457.9
22560,21499.4
22560,21539.9
22560,21579.5
22560,21618.2
22560,21656
22560,21692.9
22560,21728.9
22560,21764
22560,21798.1
22560,21831.4
22560,21863.7
22560,21895.2
22560,21925.7
22560,21955.3
22560,21984.1
22560,22012.1
22560,22039.3
22560,22065.7
22560,22091.4
22560,22116.3
22560,22140.3
22560,22163.7
22560,22186.2
22560,22207.9
22560,22228.9
22560,22249.1
22560,22268.5
22560,22280.6
22560,22291.4
22560,22301.9
22560,22318.2
22560,22334
22560,22349.2
22560,22358
22560,22365.9
22560,22373.6
22560,22386.3
22560,22398.6
22560,22410.3
22560,22421.6
22560,22432.6
22560,22443.2
22560,22453.5
22560,22463.4
22560,22472.9
22560,22482.2
22560,22491.2
22560,22499.9
22560,22508.3
22560,22516.5
22560,22524.4
22560,22532.1
22560,22539.4
22560,22545.8
22560,22551
22560,22555.1
22560,22558
22560,22559.9
22560,22560.6
22560,22560.5
22560,22560.4
23060,0
23060,0
23060,0
23060,0
23060,0
23060,0
23060,0
23060,0
23060,0
23060,2.7
23060,5.3
23060,8
23060,10.7
23060,13.4
23060,16
23060,18.7
23060,21.4
23060,24.1
23060,26.8
23060,29.6
23060,32.7
23060,36.2
23060,40.3
23060,45.2
23060,51
23060,57.8
23060,65.5
23060,74.2
23060,83.9
23060,94.9
23060,107
23060,120.3
23060,135
23060,151.1
23060,168.8
23060,168.8
